"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mkrn1",2.52362703638488e-23,0.584766411191949,0.684,0.389,7.62539145314054e-19,"NMPs","Mkrn1"
"Hoxa9",1.82978510946719e-22,0.656601286385571,0.409,0.116,5.52887868676605e-18,"NMPs","Hoxa9"
"Hoxc6",5.29836072237381e-22,0.664525303785116,0.448,0.149,1.60095267587247e-17,"NMPs","Hoxc6"
"Meox1",6.88139204754255e-22,-0.995509220189579,0.175,0.434,2.07928142108546e-17,"NMPs","Meox1"
"Il17rd",3.89788719572892e-21,0.594707116462776,0.396,0.135,1.17778559506145e-16,"NMPs","Il17rd"
"Mllt3",4.33747665488366e-21,0.760102980050681,0.64,0.311,1.31061194603965e-16,"NMPs","Mllt3"
"Foxb1",4.80997211484929e-21,0.704580503140338,0.451,0.135,1.45338117422286e-16,"NMPs","Foxb1"
"Oat",7.69465630459672e-20,0.616515044004296,0.501,0.221,2.32501734899694e-15,"NMPs","Oat"
"Aopep",1.11826810244291e-19,0.619156404382426,0.302,0.05,3.3789588983415e-15,"NMPs","Aopep"
"Lhpp",2.36851935679389e-19,0.705307131736754,0.4,0.094,7.15671808848841e-15,"NMPs","Lhpp"
"Hoxd9",7.63713292454266e-19,0.487120506675257,0.25,0.047,2.30763608447981e-14,"NMPs","Hoxd9"
"Ccnd1",2.53742919174766e-18,0.585527708880196,0.77,0.473,7.66709604578473e-14,"NMPs","Ccnd1"
"Lin28a",3.28472799271713e-17,0.677152075931702,0.594,0.281,9.92513410279409e-13,"NMPs","Lin28a"
"Hoxb9",4.95883909245946e-17,0.598813304000454,0.657,0.324,1.49836282017755e-12,"NMPs","Hoxb9"
"Hoxa7",8.3651165339261e-17,0.791927159851456,0.565,0.244,2.52760361189111e-12,"NMPs","Hoxa7"
"Nr2f1",1.21998443765848e-16,-0.720870289208269,0.087,0.295,3.68630497682887e-12,"NMPs","Nr2f1"
"Ncam1",2.38698736979571e-16,0.675808103006564,0.712,0.421,7.21252103657472e-12,"NMPs","Ncam1"
"Prrx2",6.85636112560518e-16,-0.790426774410953,0.08,0.289,2.07171807771286e-11,"NMPs","Prrx2"
"Hoxb4",9.38748600248176e-16,0.486225929254894,0.543,0.299,2.83652277050989e-11,"NMPs","Hoxb4"
"Slc2a1",9.39784165267181e-16,0.611560793028044,0.796,0.497,2.83965183377132e-11,"NMPs","Slc2a1"
"Wls",1.12667234602856e-15,0.511610463415334,0.602,0.343,3.40435316075989e-11,"NMPs","Wls"
"Acot7",2.61493785849254e-15,0.471841172821987,0.335,0.123,7.90129623322106e-11,"NMPs","Acot7"
"Sema6a",2.67831549244868e-15,0.566639701645879,0.442,0.191,8.09279809198292e-11,"NMPs","Sema6a"
"Hoxb8",8.731600122248e-15,0.700139150914992,0.612,0.289,2.63834029293846e-10,"NMPs","Hoxb8"
"Chd3",2.72486532568431e-13,0.558329154682179,0.408,0.17,8.23345306808772e-09,"NMPs","Chd3"
"Sema3a",6.00870127385114e-13,0.466888461090506,0.304,0.093,1.81558917690686e-08,"NMPs","Sema3a"
"Pitrm1",1.47345157953921e-12,0.648014971253057,0.519,0.264,4.45218129273569e-08,"NMPs","Pitrm1"
"Gja1",1.79764177145698e-12,0.518666143790259,0.585,0.351,5.43175437663442e-08,"NMPs","Gja1"
"Hoxb1",9.60384182492131e-12,0.472568158571401,0.385,0.149,2.90189684581822e-07,"NMPs","Hoxb1"
"Ifitm1",1.59368021517112e-11,0.31964196530599,0.852,0.606,4.81546413816105e-07,"NMPs","Ifitm1"
"Wnt5a",2.61472405027675e-11,0.631895422797029,0.429,0.142,7.90065019031623e-07,"NMPs","Wnt5a"
"Atp2b1",3.00516770965276e-11,0.473617591852213,0.757,0.554,9.08041475148679e-07,"NMPs","Atp2b1"
"Twist1",5.58497151929737e-11,-0.757820437446377,0.104,0.306,1.68755499427089e-06,"NMPs","Twist1"
"Gtf3a",8.6712354320406e-11,0.516579313896134,0.599,0.362,2.62010049814539e-06,"NMPs","Gtf3a"
"Bex4",1.73995045242671e-10,0.399387394736536,0.714,0.506,5.25743428705254e-06,"NMPs","Bex4"
"Fzd10",2.91389058619491e-10,0.55037207552188,0.374,0.125,8.80461179524654e-06,"NMPs","Fzd10"
"Ptk7",1.89827263585981e-09,0.418160924079012,0.351,0.149,5.73582059651399e-05,"NMPs","Ptk7"
"Sox2",5.27943118661306e-09,0.356100361055516,0.588,0.322,0.0001595232927347,"NMPs","Sox2"
"Sall3",1.37642228713425e-08,0.468028030732724,0.316,0.105,0.000415899758280484,"NMPs","Sall3"
"Arid3b",1.73569215914232e-08,0.503097351039697,0.535,0.272,0.000524456742806443,"NMPs","Arid3b"
"Id2",9.20069633521508e-07,0.409281161476307,0.544,0.323,0.0278008240464859,"NMPs","Id2"
"Arl4a",4.61759763974033e-06,0.400721053704299,0.48,0.278,0.139525330282394,"NMPs","Arl4a"
"Crabp2",3.19810119185579e-61,1.31205036545224,0.921,0.521,9.66338256131144e-57,"Neural tube","Crabp2"
"Ccnd2",1.8800794111413e-48,1.4361274253843,0.926,0.639,5.68084794870455e-44,"Neural tube","Ccnd2"
"Slc2a1.1",2.06875873265839e-37,0.925729965599077,0.845,0.51,6.2509613866006e-33,"Neural tube","Slc2a1"
"Sox2.1",4.03331331651844e-27,0.65556247303336,0.7,0.327,1.21870595171921e-22,"Neural tube","Sox2"
"Tcf15.1",3.76535313318311e-24,-1.45574261387888,0.257,0.524,1.13773910272261e-19,"Neural tube","Tcf15"
"Crabp1",2.52568907881956e-21,1.77439299311643,0.704,0.486,7.63162212056119e-17,"Neural tube","Crabp1"
"Map1b",2.02862890599813e-20,0.603559527900784,0.738,0.478,6.12970510236395e-16,"Neural tube","Map1b"
"Irx3",2.25041376862221e-20,0.578820290697512,0.444,0.182,6.79985024326887e-16,"Neural tube","Irx3"
"Fgfbp3",1.4152761636889e-18,0.602757308455637,0.348,0.122,4.27639845620239e-14,"Neural tube","Fgfbp3"
"Id3",5.09015869351053e-18,0.798792473676322,0.723,0.465,1.53804235083114e-13,"Neural tube","Id3"
"Hoxb9.1",2.65798808343646e-14,0.61440328144508,0.564,0.35,8.03137679291161e-10,"Neural tube","Hoxb9"
"Id1",4.25252709322925e-13,0.560437846426151,0.481,0.265,1.28494358649015e-08,"Neural tube","Id1"
"Gja1.1",5.94507473669545e-13,0.551492682354349,0.612,0.362,1.7963637824399e-08,"Neural tube","Gja1"
"Sfrp2",2.077667962861e-12,0.426885153494946,0.434,0.227,6.27788151658081e-08,"Neural tube","Sfrp2"
"Ccnd1.1",3.37588857470641e-11,0.45129849134637,0.706,0.494,1.02005849173329e-06,"Neural tube","Ccnd1"
"Slc2a3",1.16534987592274e-10,0.695174914271361,0.587,0.335,3.52122118508815e-06,"Neural tube","Slc2a3"
"Hoxaas3.1",1.91847409850506e-10,0.505593551662684,0.625,0.389,5.79686133604288e-06,"Neural tube","Hoxaas3"
"Igfbp2",2.25398217105182e-09,0.456481846034388,0.447,0.231,6.81063252805018e-05,"Neural tube","Igfbp2"
"Hoxb5os.1",2.99319713423285e-09,0.441332366921141,0.684,0.468,9.04424446079797e-05,"Neural tube","Hoxb5os"
"Atp2b1.1",4.01524305646485e-09,0.466936834725066,0.776,0.564,0.000121324584194142,"Neural tube","Atp2b1"
"Odc1",1.24481401055464e-08,0.348376565214613,0.568,0.366,0.000376133001429189,"Neural tube","Odc1"
"Crabp2.1",2.90773752836479e-87,1.70808489893483,0.988,0.482,8.78601971570704e-83,"Neuron progen.","Crabp2"
"Tmsb4x",1.11505825824533e-72,1.3182736339396,0.987,0.781,3.36926003311408e-68,"Neuron progen.","Tmsb4x"
"Sox2.2",3.73663249585579e-61,1.40906953193314,0.875,0.274,1.12906087494779e-56,"Neuron progen.","Sox2"
"Hes5",1.31427735094077e-59,1.49437460512943,0.621,0.106,3.97122044360263e-55,"Neuron progen.","Hes5"
"Pax6",3.36738660589394e-54,1.20119689020746,0.591,0.066,1.01748953683691e-49,"Neuron progen.","Pax6"
"Pantr1",1.45690230930349e-50,1.17027652517972,0.538,0.039,4.40217601779144e-46,"Neuron progen.","Pantr1"
"Ccnd2.1",3.05260803886462e-48,1.2593653853235,0.943,0.616,9.22376045023335e-44,"Neuron progen.","Ccnd2"
"Fam181b",1.32847726487829e-47,0.991113683278525,0.508,0.063,4.01412690355623e-43,"Neuron progen.","Fam181b"
"Vim",2.19227752007685e-47,1.32110266906134,0.899,0.516,6.62418575466421e-43,"Neuron progen.","Vim"
"Rfx4",6.01413614427025e-46,0.943320619695168,0.478,0.043,1.8172313773527e-41,"Neuron progen.","Rfx4"
"Pou3f2",9.94067539739316e-46,1.09735128580428,0.524,0.051,3.00367447807632e-41,"Neuron progen.","Pou3f2"
"Mir219a-2",3.7894399226641e-42,0.878283036830921,0.421,0.043,1.14501716703218e-37,"Neuron progen.","Mir219a-2"
"Fndc5",1.14483053383626e-39,0.984346536537904,0.487,0.067,3.45921994103966e-35,"Neuron progen.","Fndc5"
"Tcf15.2",2.28467139300737e-38,-1.99433565977803,0.151,0.559,6.90336308111108e-34,"Neuron progen.","Tcf15"
"Irx3.1",3.88263085180077e-38,0.967590860576984,0.612,0.138,1.17317573818012e-33,"Neuron progen.","Irx3"
"Id3.1",9.04119106440337e-38,1.12566132210011,0.847,0.428,2.73188629202012e-33,"Neuron progen.","Id3"
"Ckb",1.93449402154311e-36,1.03836669810284,0.496,0.112,5.84526713549467e-32,"Neuron progen.","Ckb"
"Tubb2b",4.01512844355203e-36,0.98497981130185,0.801,0.382,1.21321121050368e-31,"Neuron progen.","Tubb2b"
"Sox21",1.39898312549208e-35,0.900048379596734,0.474,0.058,4.22716741198687e-31,"Neuron progen.","Sox21"
"Ly6h",7.68362006324785e-35,0.711794802213657,0.33,0.021,2.32168263831097e-30,"Neuron progen.","Ly6h"
"Tox3",5.72947617257672e-34,0.769261779011144,0.571,0.173,1.73121852030578e-29,"Neuron progen.","Tox3"
"Sfrp2.1",1.1197239299505e-33,1.05920176105175,0.622,0.183,3.38335782673842e-29,"Neuron progen.","Sfrp2"
"Crabp1.1",2.1502560062936e-33,1.23625955471661,0.849,0.449,6.49721354861675e-29,"Neuron progen.","Crabp1"
"Pou3f3",1.71158569127758e-32,0.72746025452877,0.345,0.014,5.17172732476434e-28,"Neuron progen.","Pou3f3"
"Mir124-2hg",1.16855274458469e-29,0.694454495970692,0.343,0.023,3.53089897303711e-25,"Neuron progen.","Mir124-2hg"
"Sox3",1.26367285764824e-29,0.785355389583788,0.473,0.087,3.81831390666993e-25,"Neuron progen.","Sox3"
"Ndnf",1.51990590473312e-29,0.684925776788296,0.353,0.04,4.59254768174158e-25,"Neuron progen.","Ndnf"
"Ednrb",2.09815037905831e-28,0.76680604219266,0.383,0.037,6.3397711853626e-24,"Neuron progen.","Ednrb"
"Nr2f1.1",2.75039422208122e-28,0.839444880096034,0.652,0.21,8.31059118144062e-24,"Neuron progen.","Nr2f1"
"Fez1",4.93134049327537e-28,0.817812562689366,0.427,0.055,1.49005384344809e-23,"Neuron progen.","Fez1"
"Scube2",5.05035875191952e-28,0.756841450798014,0.387,0.044,1.52601640048e-23,"Neuron progen.","Scube2"
"Irx5",5.1776668157859e-28,0.712004697799059,0.392,0.057,1.56448380505787e-23,"Neuron progen.","Irx5"
"Igdcc3",4.31461847822917e-27,0.807204935022354,0.869,0.534,1.30370511938173e-22,"Neuron progen.","Igdcc3"
"Kif21a",6.333245248861e-27,0.634445956306897,0.419,0.104,1.91365338439584e-22,"Neuron progen.","Kif21a"
"Dbx1",5.26943973142224e-25,0.751179751607922,0.276,0.015,1.59221390924655e-20,"Neuron progen.","Dbx1"
"Fabp7",9.03693530904532e-25,0.775994904357096,0.303,0.044,2.73060037298113e-20,"Neuron progen.","Fabp7"
"Fam181a",1.52253529999883e-24,0.511568154646031,0.253,0.011,4.60049266247646e-20,"Neuron progen.","Fam181a"
"Hoxb5os.2",3.88912184125473e-24,0.829374714303259,0.84,0.428,1.17513705555353e-19,"Neuron progen.","Hoxb5os"
"Fgfbp3.1",1.15337802844844e-23,0.709795895040743,0.406,0.097,3.4850470507598e-19,"Neuron progen.","Fgfbp3"
"Metrn",1.27210803868903e-23,0.80047769333794,0.775,0.38,3.84380164970277e-19,"Neuron progen.","Metrn"
"Wnt4",5.49530475347252e-23,0.590960567189472,0.271,0.035,1.66046128430926e-18,"Neuron progen.","Wnt4"
"Khdrbs3",7.35148011970203e-23,0.739183029329284,0.597,0.209,2.22132323296917e-18,"Neuron progen.","Khdrbs3"
"Cdca8",7.70631335828359e-23,0.778514526856604,0.902,0.652,2.32853964433897e-18,"Neuron progen.","Cdca8"
"2810025M15Rik",7.46080038271781e-22,0.601553154222213,0.804,0.499,2.25435544364201e-17,"Neuron progen.","2810025M15Rik"
"Zfand5",4.35007645166865e-21,0.561153888751485,0.781,0.488,1.3144191006362e-16,"Neuron progen.","Zfand5"
"Atp2b1.2",1.47147990864504e-20,0.680365593024371,0.849,0.538,4.44622369196184e-16,"Neuron progen.","Atp2b1"
"Hoxb9.2",2.01897330452441e-20,0.856134609108019,0.714,0.312,6.10052973695096e-16,"Neuron progen.","Hoxb9"
"Dtx4",2.05082089374067e-20,0.535228496646321,0.32,0.056,6.19676041252681e-16,"Neuron progen.","Dtx4"
"Celsr2",2.14598714149186e-20,0.496639492725585,0.298,0.044,6.48431474673179e-16,"Neuron progen.","Celsr2"
"Rspo3.1",2.16383965992817e-20,-1.05795586267787,0.036,0.242,6.53825791643897e-16,"Neuron progen.","Rspo3"
"Prrx2.1",3.07184910066825e-20,-0.936777961136727,0.054,0.295,9.28189924257917e-16,"Neuron progen.","Prrx2"
"Srgap3",3.0263827097369e-19,0.462757116938637,0.248,0.024,9.14451799574102e-15,"Neuron progen.","Srgap3"
"Nrcam",4.65122812743325e-19,0.462950413831008,0.253,0.024,1.40541509098523e-14,"Neuron progen.","Nrcam"
"Cntfr",5.9420652861839e-19,0.469503877098944,0.334,0.078,1.79545444687333e-14,"Neuron progen.","Cntfr"
"Rprm",6.47955690986351e-18,0.492383318398428,0.297,0.053,1.95786291588436e-13,"Neuron progen.","Rprm"
"Meox1.1",8.21153874826897e-18,-1.09552280248149,0.18,0.436,2.48119854817695e-13,"Neuron progen.","Meox1"
"Hes3",9.80681525411174e-18,0.515439312820762,0.248,0.031,2.9632272971824e-13,"Neuron progen.","Hes3"
"Myo10",1.18060968762056e-17,0.472818329590184,0.411,0.143,3.56733023211428e-13,"Neuron progen.","Myo10"
"Hoxc9.1",2.04815590972988e-17,0.76088005660285,0.582,0.214,6.18870789683982e-13,"Neuron progen.","Hoxc9"
"Ildr2",4.2757645835471e-17,0.457464986621005,0.255,0.031,1.29196502656459e-12,"Neuron progen.","Ildr2"
"Zfhx4",4.4092662187594e-17,0.439993316151029,0.464,0.199,1.33230388066034e-12,"Neuron progen.","Zfhx4"
"Cenpv",7.05688707958119e-17,0.448443067963767,0.595,0.307,2.13230899996625e-12,"Neuron progen.","Cenpv"
"Rbp1",9.85864483802547e-17,-0.930588535097821,0.299,0.513,2.97888812425777e-12,"Neuron progen.","Rbp1"
"Ndn",1.21940204626045e-16,0.476009757557245,0.632,0.333,3.68454522298058e-12,"Neuron progen.","Ndn"
"Peg12",1.65599140095508e-16,0.524067538780464,0.402,0.119,5.00374361712586e-12,"Neuron progen.","Peg12"
"Hoxc8.1",2.76430426533923e-16,0.483144907163108,0.55,0.23,8.35262176814901e-12,"Neuron progen.","Hoxc8"
"Dclk1",3.95420337885862e-16,0.412895315779864,0.239,0.036,1.19480209295592e-11,"Neuron progen.","Dclk1"
"Nes",4.06624850630212e-16,0.492295557283363,0.367,0.108,1.22865764866425e-11,"Neuron progen.","Nes"
"Prkar2a",5.4056199651149e-16,0.587036397674859,0.555,0.247,1.63336212865912e-11,"Neuron progen.","Prkar2a"
"Olfm2",5.75771778924182e-16,0.487142744494436,0.267,0.037,1.73975200719731e-11,"Neuron progen.","Olfm2"
"Gas1",1.19394895989576e-15,0.503742149531184,0.811,0.496,3.60763617722102e-11,"Neuron progen.","Gas1"
"Sfrp1",1.79889589018219e-15,0.460223550216352,0.428,0.153,5.43554382177452e-11,"Neuron progen.","Sfrp1"
"Map1b.1",3.06804426614947e-15,0.558186125809947,0.777,0.454,9.27040255459725e-11,"Neuron progen.","Map1b"
"Zbtb16",7.0658020378582e-15,0.403598329950435,0.374,0.138,2.13500274375923e-10,"Neuron progen.","Zbtb16"
"Prss23",6.01518393836981e-14,0.380832145123123,0.267,0.067,1.81754797881782e-09,"Neuron progen.","Prss23"
"Plagl1",1.02793052603463e-13,0.421862780834757,0.33,0.112,3.10599487746623e-09,"Neuron progen.","Plagl1"
"Rtn3",1.2609428607316e-13,0.502327925615377,0.793,0.498,3.81006494798659e-09,"Neuron progen.","Rtn3"
"Mycl",1.48940157790985e-13,0.42480725008005,0.313,0.083,4.50037580781239e-09,"Neuron progen.","Mycl"
"Qk",2.35398870151625e-13,0.396862509363978,0.798,0.545,7.11281226050151e-09,"Neuron progen.","Qk"
"Ift74",3.05180649870605e-13,0.313982944411479,0.63,0.395,9.2213385164902e-09,"Neuron progen.","Ift74"
"Fzd3",3.36733298542896e-13,0.684494751860808,0.606,0.24,1.01747333487721e-08,"Neuron progen.","Fzd3"
"Cdh2",3.9358940017022e-13,0.440468596176223,0.748,0.47,1.18926973155434e-08,"Neuron progen.","Cdh2"
"Vangl2",4.81472897333551e-13,0.415223607572634,0.416,0.171,1.45481850658306e-08,"Neuron progen.","Vangl2"
"Gkap1",1.13689824274442e-12,0.397560022622692,0.621,0.343,3.43525173027654e-08,"Neuron progen.","Gkap1"
"Syne2",1.66704748523226e-12,0.306150624805399,0.422,0.218,5.03715068137778e-08,"Neuron progen.","Syne2"
"Hoxd4",1.89546813672608e-12,0.415261450007035,0.469,0.224,5.72734652193151e-08,"Neuron progen.","Hoxd4"
"Nsd2",4.91445443336392e-12,0.346200454299408,0.735,0.499,1.48495155158524e-07,"Neuron progen.","Nsd2"
"Fgfr2",5.02615212711408e-12,0.392741919108275,0.307,0.084,1.51870212672879e-07,"Neuron progen.","Fgfr2"
"Apba2",5.21159368971734e-12,0.44053364024259,0.262,0.047,1.57473514928499e-07,"Neuron progen.","Apba2"
"Akap12",5.38635052633298e-12,0.607874141687858,0.475,0.169,1.62753967503677e-07,"Neuron progen.","Akap12"
"Tmem47",6.08654881407761e-12,0.467758706504658,0.43,0.161,1.83911158966169e-07,"Neuron progen.","Tmem47"
"Hoxc6.1",7.71146835790073e-12,0.421142387809836,0.406,0.152,2.33009727902329e-07,"Neuron progen.","Hoxc6"
"Slc2a1.2",1.03465887881673e-11,0.436490684756914,0.824,0.49,3.12632526823265e-07,"Neuron progen.","Slc2a1"
"Zfp462",1.30478564838766e-11,0.416596596119561,0.509,0.249,3.94254031516816e-07,"Neuron progen.","Zfp462"
"Palld",2.31356259435233e-11,0.346490957003312,0.404,0.199,6.99066073509501e-07,"Neuron progen.","Palld"
"Tspan13",2.3699602647815e-11,0.314873255199492,0.594,0.339,7.16107193606377e-07,"Neuron progen.","Tspan13"
"Sall2",4.15885632605715e-11,0.336196091394375,0.356,0.143,1.25664002748143e-06,"Neuron progen.","Sall2"
"Id2.1",5.10133172913846e-11,0.376862409737824,0.575,0.316,1.54141839527648e-06,"Neuron progen.","Id2"
"Kif1b",5.2113864403842e-11,0.416936941752318,0.501,0.242,1.57467252682649e-06,"Neuron progen.","Kif1b"
"Prkar2b",5.9030968011435e-11,0.332299478128752,0.374,0.159,1.78367972943352e-06,"Neuron progen.","Prkar2b"
"Trim2",8.59894915219373e-11,0.380859187995546,0.279,0.078,2.59825847582686e-06,"Neuron progen.","Trim2"
"Zfp41",1.03607245504419e-10,0.356950087431574,0.321,0.111,3.13059653016153e-06,"Neuron progen.","Zfp41"
"Pfn2",1.44171134690154e-10,0.386284966649696,0.442,0.194,4.3562750057977e-06,"Neuron progen.","Pfn2"
"Hnrnph3",1.70825164090599e-10,0.404625670165778,0.792,0.536,5.16165315816155e-06,"Neuron progen.","Hnrnph3"
"Acat2",2.16765169513287e-10,0.39437198272769,0.687,0.422,6.54977636201347e-06,"Neuron progen.","Acat2"
"Pea15a",3.56527783415995e-10,0.338234234907226,0.319,0.114,1.07728435036977e-05,"Neuron progen.","Pea15a"
"Gnb2",3.81444267259461e-10,0.337555236168792,0.8,0.566,1.15257199795119e-05,"Neuron progen.","Gnb2"
"Eml1",1.06199312484908e-09,0.362199410070682,0.283,0.081,3.20891842604399e-05,"Neuron progen.","Eml1"
"Epha7",1.11460570577706e-09,0.441775445310374,0.302,0.082,3.36789260057595e-05,"Neuron progen.","Epha7"
"Golm1",1.21842410975688e-09,0.367262859140356,0.568,0.318,3.6815902900414e-05,"Neuron progen.","Golm1"
"Dnajc9",1.54226790679761e-09,0.427107725382048,0.861,0.621,4.66011670717965e-05,"Neuron progen.","Dnajc9"
"Nsmce3",1.67434498751436e-09,0.340937477343536,0.507,0.27,5.05920081427338e-05,"Neuron progen.","Nsmce3"
"Sh3glb1",1.99751847583449e-09,0.348589969518865,0.726,0.489,6.0357018265815e-05,"Neuron progen.","Sh3glb1"
"Rrm2",2.36602294885619e-09,0.333853524416895,0.799,0.578,7.14917494226386e-05,"Neuron progen.","Rrm2"
"Hmgcs1",5.89694700626314e-09,0.499688924452056,0.84,0.616,0.000178182150741247,"Neuron progen.","Hmgcs1"
"Zfp422",1.66450054491431e-08,0.309130867793054,0.5,0.283,0.000502945484651307,"Neuron progen.","Zfp422"
"Sox9",2.99215730021604e-08,0.381922509111018,0.306,0.105,0.000904110249833279,"Neuron progen.","Sox9"
"Fhl1",3.14344969468154e-08,0.408125243362503,0.39,0.151,0.000949824759744975,"Neuron progen.","Fhl1"
"Lgr4",3.47921064374457e-08,0.356990738532267,0.306,0.098,0.00105127828811386,"Neuron progen.","Lgr4"
"Usp1",3.58870229559021e-08,0.322421570446853,0.649,0.411,0.00108436228563554,"Neuron progen.","Usp1"
"Zdbf2",6.5196944834008e-08,0.439682362358722,0.75,0.495,0.00196999088510439,"Neuron progen.","Zdbf2"
"Cdk2ap1",1.59731671184007e-07,0.367320952389918,0.755,0.508,0.00482645217649595,"Neuron progen.","Cdk2ap1"
"Ppil1",3.72091354678182e-07,0.300340213764985,0.678,0.441,0.0112431123729559,"Neuron progen.","Ppil1"
"Bex2",3.81733862156729e-07,0.305934750324328,0.809,0.582,0.0115344703789277,"Neuron progen.","Bex2"
"Msi1",4.60975786679071e-07,0.404308361560659,0.375,0.133,0.0139288443702948,"Neuron progen.","Msi1"
"Utrn",1.03415703312665e-06,0.309755796050132,0.497,0.283,0.0312480889129548,"Neuron progen.","Utrn"
"Hpf1",1.40493712798881e-06,0.322628748537225,0.813,0.576,0.0424515802593098,"Neuron progen.","Hpf1"
"Dynll2",1.52842819298924e-06,0.334254634678894,0.816,0.586,0.0461829862793628,"Neuron progen.","Dynll2"
"Col2a1",1.04078521603385e-05,0.307875477090159,0.373,0.17,0.314483660876789,"Neuron progen.","Col2a1"
"Zfp36l1",1.06728470025029e-05,0.406562931093646,0.748,0.506,0.322490745027627,"Neuron progen.","Zfp36l1"
"Msmo1",1.36664856130328e-05,0.323629904295234,0.609,0.406,0.4129465292834,"Neuron progen.","Msmo1"
"Btbd17",1.00490232754094e-106,2.40811451636595,0.772,0.018,3.03641287289772e-102,"Neuron prec.","Btbd17"
"Gadd45g",1.06197141772595e-84,2.95862501939645,0.733,0.063,3.20885283580073e-80,"Neuron prec.","Gadd45g"
"Pou3f2.1",2.953066596915e-74,1.6804055175554,0.727,0.109,8.92298602923837e-70,"Neuron prec.","Pou3f2"
"Hes6",1.06992777786545e-72,2.20873720520327,0.743,0.153,3.23289377359823e-68,"Neuron prec.","Hes6"
"Srrm4",6.43511087290544e-72,1.72682259609,0.584,0.004,1.94443310135711e-67,"Neuron prec.","Srrm4"
"Igfbpl1",2.01887344093602e-68,1.83758280875954,0.617,0.049,6.10022798913227e-64,"Neuron prec.","Igfbpl1"
"Btg2",2.33816090799824e-64,1.59501176288843,0.706,0.117,7.06498699960749e-60,"Neuron prec.","Btg2"
"Tagln3",1.86407069425651e-58,1.46215663951678,0.589,0.069,5.63247600976546e-54,"Neuron prec.","Tagln3"
"Vim.1",2.83581147323387e-56,1.5836450832382,0.911,0.564,8.56868794752346e-52,"Neuron prec.","Vim"
"Crabp1.2",1.46792614682998e-54,2.56869773216307,0.874,0.499,4.43548564526146e-50,"Neuron prec.","Crabp1"
"Dll1",1.00282640344049e-53,1.95765834611892,0.686,0.12,3.03014026063579e-49,"Neuron prec.","Dll1"
"Tfdp2",2.84068701833062e-52,1.52133845257212,0.856,0.464,8.58341989458781e-48,"Neuron prec.","Tfdp2"
"Trp53i11",4.17445898781607e-51,1.50434704538847,0.601,0.087,1.2613545277585e-46,"Neuron prec.","Trp53i11"
"Elavl4",2.39468601321755e-50,1.5066871231279,0.523,0.043,7.23578325753816e-46,"Neuron prec.","Elavl4"
"Sox2.3",7.62799354318319e-50,1.21789986502394,0.817,0.35,2.30487452900823e-45,"Neuron prec.","Sox2"
"Neurod4",1.32639349012257e-49,1.54508492165225,0.451,0.002,4.00783056975437e-45,"Neuron prec.","Neurod4"
"Neurog1",6.24692222842599e-49,1.31422935927966,0.431,0.004,1.8875700205412e-44,"Neuron prec.","Neurog1"
"Elavl3",1.36893713052122e-45,1.40306526860977,0.421,0.012,4.13638043358293e-41,"Neuron prec.","Elavl3"
"Tubb3",3.76313840197267e-45,2.1623929666539,0.404,0.017,1.13706989954006e-40,"Neuron prec.","Tubb3"
